asin,brand,type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
B00B7JRYIO,Sparkling ICE,WATER,1.09965338,1.125295508,0.888655462,0.945626478,1.0575,0.95429472,1.047894302,1,1,0.945626478,0.961666667,1.039861352,1.1225,1.228656273,0.941389728,1.021181001,1.040226273,0.954682779,0.759493671,1.34,up
B0788BZXR5,Starbucks,COFFEE,0.342924377,1.006238303,0.992250465,0.990315526,0.756466877,1.066305254,0.749706688,1.250912885,0.932860717,1.07197139,0.79941618,1.120500782,1,1,1.041433892,0.960214573,1.116387337,0.895746455,1.116387337,0.895746455,down
B0944SV7P1,Starbucks,COFFEE,1,0.87211094,1,1,1.081625442,1.10486769,1.014192785,0.892419825,,,,,,,,,,,,,down
B01LS29YE6,Starbucks,COFFEE,0.966966967,1.000776398,1.318076028,0.967628016,0.957420925,1.001905972,0.960684845,0.856105611,0.944487278,1.25877551,0.842412451,0.995381062,0.981438515,0.951930654,0.987582781,1.256496228,1.044696464,0.994252874,1.05908799,0.993935719,up
B0788BZXR4,Starbucks,COFFEE,0.34591935,1.002782931,0.739438791,0.895746455,1,1,1,1,1,1,1,1,1,1.116387337,1.263969975,1.028373474,0.97529676,1.025328947,0.967276227,0.998341625,down
B093CJCCJH,TeeTurtle,TOYS_AND_GAMES,1,1,0.987333333,1.012829169,1,0.75,1.656,0.603864734,1.584888889,0.630959058,1.584888889,0.841278744,,,,,,,,,down
B07H4HKDG7,TeeTurtle,TOY_FIGURE,1,0.940666667,0.997873848,1.013494318,0.98388227,0.977207977,1.003644315,1.000726216,0.994194485,1.018248175,1.075268817,0.936,0.999287749,1.014967926,0.997191011,0.992253521,0.999290277,0.984375,0.982683983,1.011013216,down
B06ZY896ZM,ThisWorx for,VACUUM_CLEANER,0.967711599,1,0.988338192,0.982300885,1,1,1.064397731,1,1,1,0.84984326,1.29066765,1,1,1,1,1,1,1.000857388,1.000856653,up
B095NWYQBC,WYZE,SECURITY_CAMERA,0.939951962,1.063884157,0.99979984,1.0002002,0.993194556,1.006852076,0.995996797,1.001004823,0.998996186,1.004019293,0.985788631,1.014416244,0.987389912,1.012771133,0.98438751,1.015860106,0.988390713,0.968205751,1.009203096,0.987564767,down
B0998CDM7F,WYZE,SECURITY_CAMERA,1.077021823,0.928486293,1.077021823,0.952562574,0.977727728,0.991809573,1.001290323,0.99871134,1.082580645,0.913468415,1.094728601,0.909892729,1.099030652,0.857926103,1,1.165601556,0.986889154,1.013285024,0.986889154,1.013285024,up
B08R59YH7W,WYZE,SECURITY_CAMERA,1.097209156,1,0.856816233,1.100066711,0.909035779,1.022348232,1.076019576,0.909035779,1.013675784,1.085225403,0.909035779,1.100066711,0.999696786,1.000303306,1.090964221,0.916620345,1.090964221,0.916620345,1.090964221,0.916620345,up
B092K4GWH1,WYZE,CAMERA,1,1,1,1,1,1,0.934869739,1.069667738,0.96492986,1.005192108,1.030991736,0.962925852,1.006243496,0.997931748,1.012435233,1.021494371,0.961923848,1.033333333,1.006048387,0.938877756,down
B097SNGN1W,,ABIS_DVD,0.620048019,0.966440787,1.034724541,0.096482736,,,,,,,,,,,,,,,,,down
